Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE ONE:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Window Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:Surface Outside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Temperature [C](TimeStep),ZONE ONE:Zone Mean Air Temperature [C](TimeStep) 
 01/01  16:30:00,-1.1,0.0,0.0,0.0,0.0,0.0,0.0,-0.6844645678974008,-2.634545124585851,-1.0436970904489727,-2.350345270489356,-0.44097486160137908 
 01/01  16:45:00,-1.1,0.0,0.0,0.0,0.0,0.0,0.0,-0.7171832665638188,-2.778315779531395,-1.1289947683882816,-2.437435086300411,-0.5165520525109116 
 01/01  17:00:00,-1.1,0.0,0.0,0.0,0.0,0.0,0.0,-0.7666215122102458,-2.9852717637624499,-1.1843707131886845,-2.529218964063375,-0.5864191539791567 
 01/01  17:15:00,-1.25,0.0,0.0,0.0,0.0,0.0,0.0,-0.8053529099765608,-3.131080145454906,-1.2557084786523092,-2.6684209160725347,-0.6454180422681854 
 01/01  17:30:00,-1.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.8426916197901633,-3.2836130673163219,-1.3160097161681393,-2.7927812242014626,-0.6931871316746699 
 01/01  17:45:00,-1.5499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-0.876257184687721,-3.4352189977126956,-1.3760930378582544,-2.9228969457342375,-0.7322228874122942 
 01/01  18:00:00,-1.7,0.0,0.0,0.0,0.0,0.0,0.0,-0.9072254461753061,-3.5869732998821219,-1.4331709457379134,-3.0520755763399736,-0.7653823994150358 
 01/01  18:15:00,-1.825,0.0,0.0,0.0,0.0,0.0,0.0,-0.9078833057262934,-3.4149856007467509,-1.4447078648767616,-3.044181991809978,-0.7910139658851263 
 01/01  18:30:00,-1.9500000000000002,0.0,0.0,0.0,0.0,0.0,0.0,-0.9085494458554387,-3.3272753799600558,-1.4554423906523653,-3.0479646620120777,-0.8079652569097641 
 01/01  18:45:00,-2.075,0.0,0.0,0.0,0.0,0.0,0.0,-0.9141910222209622,-3.395373996699485,-1.4827334858927089,-3.122835269224879,-0.8181681430849351 
 01/01  19:00:00,-2.2,0.0,0.0,0.0,0.0,0.0,0.0,-0.9162758731509426,-3.3545320364743307,-1.4926442729242809,-3.1447497229355578,-0.8245632849831246 
 01/01  19:15:00,-1.9250000000000003,0.0,0.0,0.0,0.0,0.0,0.0,-0.9039073687574194,-3.048560921516922,-1.4186815053740248,-2.903160864082224,-0.827790428451406 
 01/01  19:30:00,-1.6500000000000002,0.0,0.0,0.0,0.0,0.0,0.0,-0.888784216824482,-2.746010618396829,-1.3464948408395117,-2.6537983987415147,-0.8278939561891054 
